date;time;severity;message;
2023-05-21;10:18:29.459;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.499;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.519;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.599;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.679;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.719;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.759;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.779;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.839;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:29.919;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.019;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:18:30.049;DriverInfo;MBDRV(MBM): Packet CRC invalid (crc=0x6AE3, cnt=4);
2023-05-21;10:18:30.049;DriverVerbose;MBDRV(MBM): res=-1201, received 5 bytes (FF,F7,03,3C,18);
2023-05-21;10:18:30.049;DriverVerbose;MBDRV(MBM): Read operation failed (item='running_data', func=0 (f0), addr=35100, err=0, nRes=-1201);
2023-05-21;10:18:30.049;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:18:30.059;DriverInfo;MBDRV(MBM): Packet CRC invalid (crc=0xD904, cnt=4);
2023-05-21;10:18:30.059;DriverVerbose;MBDRV(MBM): res=-1201, received 5 bytes (0C,FA,00,00,00);
2023-05-21;10:18:30.059;DriverVerbose;MBDRV(MBM): Read operation failed (item='running_data', func=0 (f0), addr=35100, err=0, nRes=-1201);
2023-05-21;10:18:30.059;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:18:30.079;DriverInfo;MBDRV(MBM): Packet CRC invalid (crc=0x6015, cnt=4);
2023-05-21;10:18:30.079;DriverVerbose;MBDRV(MBM): res=-1201, received 5 bytes (00,F8,00,00,00);
2023-05-21;10:18:30.079;DriverVerbose;MBDRV(MBM): Read operation failed (item='running_data', func=0 (f0), addr=35100, err=0, nRes=-1201);
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 8 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.089;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.099;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.109;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.109;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.109;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:30.109;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
