date;time;severity;message;
2023-05-21;10:53:51.379;DriverWarning;MBDRV(MBM): FLUSH 47 bytes;
2023-05-21;10:53:51.579;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:51.659;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,2F,34,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,55,00,05,13,8E,00,00,00,02,09,6A,00,06,13,8D,00,00,79,1F);
2023-05-21;10:53:52.379;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:52.459;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,2F,35,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,58,00,05,13,8A,00,00,00,02,09,6B,00,06,13,8E,00,00,A8,73);
2023-05-21;10:53:53.179;DriverInfo;MonarcoHatDrv: INIT OK, FW=00002008, HW=00000106, MCU=245D67086194A92E;
2023-05-21;10:53:53.379;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:53.459;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,2F,36,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,59,00,05,13,8E,00,00,00,01,09,68,00,06,13,8E,00,00,2E,1B);
2023-05-21;10:53:54.379;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:54.459;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,2F,37,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,59,00,05,13,8E,00,00,00,01,09,68,00,06,13,8E,00,00,85,A0);
2023-05-21;10:53:55.379;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:55.459;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,2F,38,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,59,00,05,13,8F,00,00,00,01,09,68,00,06,13,8F,00,00,D6,DE);
2023-05-21;10:53:56.379;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:56.459;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,2F,39,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,55,00,05,13,8E,00,00,00,02,09,6C,00,06,13,8E,00,00,BA,17);
2023-05-21;10:53:57.379;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:53:57.579;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:57.659;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,2F,3A,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,5B,00,05,13,8E,00,00,00,01,09,70,00,06,13,8E,00,00,E9,C9);
2023-05-21;10:53:58.379;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:58.459;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,2F,3B,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,5C,00,05,13,8F,00,00,00,02,09,6A,00,06,13,8D,00,00,AD,F3);
2023-05-21;10:53:59.379;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:53:59.459;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,59,00,05,13,8F,00,00,00,01,09,66,00,06,13,8E,00,00,46,F3);
2023-05-21;10:54:00.379;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:54:00.459;DriverVerbose;MBDRV(MBM): res=0, received 65 bytes (F7,03,3C,18,0C,02,02,30,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,5D,00,05,13,8D,00,00,00,02,09,66,00,06,13,8E,00,00,BC,3B);
